Name: Anonre, Pop. 27233508, Seats: 1, D: 1.4142135623730951, PD: 1.925699818229809E7
Name: Zalaed, Pop. 471679132, Seats: 24, D: 24.49489742783178, PD: 1.925621992864788E7
Name: Terege, Pop. 259768320, Seats: 13, D: 13.490737563232042, PD: 1.9255308969020225E7
Name: Ateteaon, Pop. 240369597, Seats: 12, D: 12.489995996796797, PD: 1.9244969899241406E7
Name: Arora, Pop. 432766622, Seats: 22, D: 22.494443758403985, PD: 1.9238823002161022E7
Name: Teer, Pop. 221150818, Seats: 11, D: 11.489125293076057, PD: 1.9248708005062573E7
Name: Arerma, Pop. 375191850, Seats: 19, D: 19.493588689617926, PD: 1.924693579893902E7
Name: Inbeaen, Pop. 240348802, Seats: 12, D: 12.489995996796797, PD: 1.9243304966762215E7
Name: Disoa, Pop. 27214118, Seats: 1, D: 1.4142135623730951, PD: 1.924328738181088E7
Name: Anan, Pop. 317011557, Seats: 16, D: 16.492422502470642, PD: 1.9221649030184023E7
Name: Aoratle, Pop. 355166416, Seats: 18, D: 18.49324200890693, PD: 1.9205200247146532E7
Name: Maorer, Pop. 374872900, Seats: 19, D: 19.493588689617926, PD: 1.923057400916914E7
Name: Veceen, Pop. 471311613, Seats: 24, D: 24.49489742783178, PD: 1.924121602830158E7
Name: Tetireus, Pop. 355904391, Seats: 18, D: 18.49324200890693, PD: 1.9245105364899524E7
Name: Lemabi, Pop. 278815168, Seats: 14, D: 14.491376746189438, PD: 1.9240074485905245E7
Name: Xesoso, Pop. 278807857, Seats: 14, D: 14.491376746189438, PD: 1.923956997897481E7
Name: Cexeince, Pop. 429969799, Seats: 22, D: 22.494443758403985, PD: 1.911448905418531E7
Name: Tileaza, Pop. 297832208, Seats: 15, D: 15.491933384829668, PD: 1.9224986359136388E7
Name: Tegera, Pop. 375031319, Seats: 19, D: 19.493588689617926, PD: 1.9238700732397087E7
Name: Tesoa, Pop. 372113712, Seats: 19, D: 19.493588689617926, PD: 1.9089030651302483E7
Name: Lalete, Pop. 220708679, Seats: 11, D: 11.489125293076057, PD: 1.9210224744699277E7
Name: Soriqu, Pop. 354994375, Seats: 18, D: 18.49324200890693, PD: 1.9195897335308947E7
Name: Biatbi, Pop. 392724819, Seats: 20, D: 20.493901531919196, PD: 1.9163008975539975E7
Name: Rionre, Pop. 296888829, Seats: 15, D: 15.491933384829668, PD: 1.9164091506533694E7
Name: Isoner, Pop. 220789547, Seats: 11, D: 11.489125293076057, PD: 1.921726340064019E7
Name: Edria, Pop. 413531065, Seats: 21, D: 21.494185260204677, PD: 1.9239206324588187E7
Name: Uslaace, Pop. 240144857, Seats: 12, D: 12.489995996796797, PD: 1.9226976298598327E7
Name: Xeenor, Pop. 240035631, Seats: 12, D: 12.489995996796797, PD: 1.9218231219734572E7
Name: Orqubirixe, Pop. 316450817, Seats: 16, D: 16.492422502470642, PD: 1.9187649173588306E7
Name: Biveer, Pop. 27206366, Seats: 1, D: 1.4142135623730951, PD: 1.9237805890043125E7
Name: Qugeat, Pop. 373991511, Seats: 19, D: 19.493588689617926, PD: 1.918535970748084E7
Name: Anedxe, Pop. 355264499, Seats: 18, D: 18.49324200890693, PD: 1.921050396836279E7
Name: Onmaxean, Pop. 278692761, Seats: 14, D: 14.491376746189438, PD: 1.9231627600413006E7
Name: Userteza, Pop. 276747993, Seats: 14, D: 14.491376746189438, PD: 1.9097425858641893E7
Name: Atistire, Pop. 486901126, Seats: 25, D: 25.495097567963924, PD: 1.9097833405109994E7
Name: Dimaed, Pop. 392950641, Seats: 20, D: 20.493901531919196, PD: 1.9174027960853644E7
Name: Diveza, Pop. 46914226, Seats: 2, D: 2.449489742783178, PD: 1.9152652562935315E7
Name: Gexeti, Pop. 297407205, Seats: 15, D: 15.491933384829668, PD: 1.9197552533451587E7
Name: Edremaza, Pop. 428417826, Seats: 22, D: 22.494443758403985, PD: 1.9045495438843288E7
Name: Cegequ, Pop. 351397702, Seats: 18, D: 18.49324200890693, PD: 1.9001411533508066E7
Name: Tilaed, Pop. 370227593, Seats: 19, D: 19.493588689617926, PD: 1.8992274788129658E7
Name: Riquis, Pop. 237893162, Seats: 12, D: 12.489995996796797, PD: 1.9046696416957255E7
Name: Biises, Pop. 27116806, Seats: 1, D: 1.4142135623730951, PD: 1.9174477406720057E7
Name: Teenve XIV, Pop. 296723025, Seats: 15, D: 15.491933384829668, PD: 1.9153388904354785E7
Name: Erinza, Pop. 431499603, Seats: 22, D: 22.494443758403985, PD: 1.918249713726709E7
Name: Terainusge, Pop. 353991741, Seats: 18, D: 18.49324200890693, PD: 1.9141681097857606E7
Name: Soarinarce, Pop. 371288458, Seats: 19, D: 19.493588689617926, PD: 1.9046696014353897E7
Name: Inrain, Pop. 27084009, Seats: 1, D: 1.4142135623730951, PD: 1.9151286425617483E7
Name: Zaisve, Pop. 277508023, Seats: 14, D: 14.491376746189438, PD: 1.914987291134859E7
Name: Uszaus X, Pop. 278272558, Seats: 14, D: 14.491376746189438, PD: 1.9202630838589773E7
Name: Enrezari, Pop. 315946980, Seats: 16, D: 16.492422502470642, PD: 1.915709956816045E7
Name: Veesqu, Pop. 373605815, Seats: 19, D: 19.493588689617926, PD: 1.916557392015655E7
Name: Maledi, Pop. 335368888, Seats: 17, D: 17.4928556845359, PD: 1.9171763264272172E7
Name: Ararridi XV, Pop. 27100568, Seats: 1, D: 1.4142135623730951, PD: 1.916299540680715E7
Name: Biusbi, Pop. 316794437, Seats: 16, D: 16.492422502470642, PD: 1.920848419645705E7
Name: Erala, Pop. 355309540, Seats: 18, D: 18.49324200890693, PD: 1.921293950670584E7
Name: Beanma, Pop. 278246436, Seats: 14, D: 14.491376746189438, PD: 1.9200828249335658E7
Name: Requraes, Pop. 354783027, Seats: 18, D: 18.49324200890693, PD: 1.91844689443379E7
Name: Zarara, Pop. 353360491, Seats: 18, D: 18.49324200890693, PD: 1.910754700716134E7
Name: Orqubi, Pop. 295595119, Seats: 15, D: 15.491933384829668, PD: 1.9080582885119993E7
Name: Teinma, Pop. 257338346, Seats: 13, D: 13.490737563232042, PD: 1.90751873123198E7
Name: Oran, Pop. 334706325, Seats: 17, D: 17.4928556845359, PD: 1.9133887058582913E7
Name: Aesve, Pop. 314599911, Seats: 16, D: 16.492422502470642, PD: 1.907542151268993E7
Name: Aorti, Pop. 373679724, Seats: 19, D: 19.493588689617926, PD: 1.9169365371857762E7
Name: Isedtimain, Pop. 371710188, Seats: 19, D: 19.493588689617926, PD: 1.9068330306875143E7
Name: Orara, Pop. 306827884, Seats: 16, D: 16.492422502470642, PD: 1.860417315612887E7
Name: Vevere, Pop. 296018181, Seats: 15, D: 15.491933384829668, PD: 1.9107891419793546E7
Name: Soinus, Pop. 267887268, Seats: 14, D: 14.491376746189438, PD: 1.8485977743311517E7
Name: Orma, Pop. 368901099, Seats: 19, D: 19.493588689617926, PD: 1.8924227081721116E7
Name: Ritiis, Pop. 273469699, Seats: 14, D: 14.491376746189438, PD: 1.8871202080362026E7
Name: Usoror, Pop. 371956901, Seats: 19, D: 19.493588689617926, PD: 1.9080986416734044E7
Name: Maar, Pop. 26947246, Seats: 1, D: 1.4142135623730951, PD: 1.9054580380902067E7
Name: Esanraonla, Pop. 373138908, Seats: 19, D: 19.493588689617926, PD: 1.9141622096434698E7
Name: Ralarama, Pop. 308674970, Seats: 16, D: 16.492422502470642, PD: 1.8716169195505332E7
Name: Quarbe, Pop. 277519400, Seats: 14, D: 14.491376746189438, PD: 1.9150657998935454E7
Name: Vevebe, Pop. 217747086, Seats: 11, D: 11.489125293076057, PD: 1.8952451161031876E7
Name: Qumaveri, Pop. 412212539, Seats: 21, D: 21.494185260204677, PD: 1.9177862943388194E7
Name: Ceteve, Pop. 256696400, Seats: 13, D: 13.490737563232042, PD: 1.902760310893647E7
Name: Reor, Pop. 293227263, Seats: 15, D: 15.491933384829668, PD: 1.8927738437549703E7
Name: Xerari, Pop. 275235100, Seats: 14, D: 14.491376746189438, PD: 1.899302632321488E7
Name: Onesxe, Pop. 272705850, Seats: 14, D: 14.491376746189438, PD: 1.8818491491618216E7
Name: Atveso, Pop. 255330674, Seats: 13, D: 13.490737563232042, PD: 1.892636876251184E7
Name: Maon, Pop. 274807138, Seats: 14, D: 14.491376746189438, PD: 1.8963494139524154E7
Name: Eranso Ditebe, Pop. 236853099, Seats: 12, D: 12.489995996796797, PD: 1.8963424732941765E7
Name: Quedma, Pop. 313814854, Seats: 16, D: 16.492422502470642, PD: 1.9027820440143894E7
Name: Zale, Pop. 352101214, Seats: 18, D: 18.49324200890693, PD: 1.9039453105648916E7
Name: Reusve, Pop. 352856706, Seats: 18, D: 18.49324200890693, PD: 1.908030543427989E7
Name: Rizarive, Pop. 293566639, Seats: 15, D: 15.491933384829668, PD: 1.8949645064151414E7
Name: Enzare, Pop. 504799775, Seats: 26, D: 26.49528259898354, PD: 1.9052439735795308E7
Name: Endice, Pop. 26964198, Seats: 1, D: 1.4142135623730951, PD: 1.9066567255056743E7
Name: Isceer, Pop. 449448394, Seats: 23, D: 23.49468024894146, PD: 1.912979403157656E7
Name: Esmadi, Pop. 293253446, Seats: 15, D: 15.491933384829668, PD: 1.892942854293227E7
Name: Raaza, Pop. 333579163, Seats: 17, D: 17.4928556845359, PD: 1.906945149584078E7
Name: Labela, Pop. 331593633, Seats: 17, D: 17.4928556845359, PD: 1.895594630058811E7
Name: Biarar, Pop. 255266177, Seats: 13, D: 13.490737563232042, PD: 1.892158792679417E7
Name: Esmaed, Pop. 314717138, Seats: 16, D: 16.492422502470642, PD: 1.9082529443618964E7
Name: Ansoor, Pop. 277394961, Seats: 14, D: 14.491376746189438, PD: 1.9142070892121553E7
Name: Ismadi, Pop. 26845679, Seats: 1, D: 1.4142135623730951, PD: 1.898276166645729E7
Name: Xereus, Pop. 334399782, Seats: 17, D: 17.4928556845359, PD: 1.9116363161654465E7
Name: Edriqu, Pop. 354113635, Seats: 18, D: 18.49324200890693, PD: 1.914827237049338E7
Name: Zaxere, Pop. 27141296, Seats: 1, D: 1.4142135623730951, PD: 1.9191794451791316E7
Name: Bizama, Pop. 373056479, Seats: 19, D: 19.493588689617926, PD: 1.9137393577955496E7
Name: Atiza, Pop. 239066994, Seats: 12, D: 12.489995996796797, PD: 1.9140678192475922E7
Name: Teried, Pop. 330676954, Seats: 17, D: 17.4928556845359, PD: 1.890354325007816E7
Name: Anisso, Pop. 332185030, Seats: 17, D: 17.4928556845359, PD: 1.8989754216840617E7
Name: Laveraveon, Pop. 315832726, Seats: 16, D: 16.492422502470642, PD: 1.9150171901834723E7
Name: Arorso, Pop. 219462984, Seats: 11, D: 11.489125293076057, PD: 1.910180091188141E7
Name: Diingequ, Pop. 294949021, Seats: 15, D: 15.491933384829668, PD: 1.9038877438553028E7
Name: Lemaen, Pop. 27038971, Seats: 1, D: 1.4142135623730951, PD: 1.9119439750406403E7
Name: Tiened, Pop. 352289653, Seats: 18, D: 18.49324200890693, PD: 1.9049642719774403E7
Name: Ensodiis, Pop. 296426175, Seats: 15, D: 15.491933384829668, PD: 1.913422731924942E7
Name: Erenve, Pop. 354981529, Seats: 18, D: 18.49324200890693, PD: 1.9195202703183666E7
Name: Zaquxerira, Pop. 316594360, Seats: 16, D: 16.492422502470642, PD: 1.919635274639445E7
Name: Arleza, Pop. 277734790, Seats: 14, D: 14.491376746189438, PD: 1.916552132101813E7
Name: Xemaus, Pop. 26932988, Seats: 1, D: 1.4142135623730951, PD: 1.904449845241591E7
Name: Tiisre, Pop. 314246351, Seats: 16, D: 16.492422502470642, PD: 1.905398378879297E7
Name: Qusoa, Pop. 391730783, Seats: 20, D: 20.493901531919196, PD: 1.91145049852943E7
Name: Erzabi, Pop. 295795055, Seats: 15, D: 15.491933384829668, PD: 1.9093488698425114E7
Name: Soreen, Pop. 257509944, Seats: 13, D: 13.490737563232042, PD: 1.9087907002343845E7
Name: Esmaanan, Pop. 275920925, Seats: 14, D: 14.491376746189438, PD: 1.9040352744438477E7
Name: Rilece, Pop. 311698932, Seats: 16, D: 16.492422502470642, PD: 1.8899523823944364E7
Name: Enerti, Pop. 26926454, Seats: 1, D: 1.4142135623730951, PD: 1.9039878216707636E7
Name: Usated, Pop. 26903368, Seats: 1, D: 1.4142135623730951, PD: 1.9023553949557163E7
Name: Atema, Pop. 235566139, Seats: 12, D: 12.489995996796797, PD: 1.8860385468531266E7
Name: Orvean, Pop. 180903628, Seats: 9, D: 9.486832980505138, PD: 1.9068916715593696E7
Name: Ridibi, Pop. 349663970, Seats: 18, D: 18.49324200890693, PD: 1.8907662043874774E7
Name: Veradi, Pop. 218364995, Seats: 11, D: 11.489125293076057, PD: 1.900623323618884E7
Name: Aleinza, Pop. 366062791, Seats: 19, D: 19.493588689617926, PD: 1.877862495349361E7
Name: Edrereen, Pop. 255605732, Seats: 13, D: 13.490737563232042, PD: 1.8946757417966057E7
Name: Ququisat, Pop. 26547526, Seats: 1, D: 1.4142135623730951, PD: 1.877193565832618E7
Name: Oninra, Pop. 274297637, Seats: 14, D: 14.491376746189438, PD: 1.8928335230269104E7
Name: Maesbe, Pop. 324336795, Seats: 17, D: 17.4928556845359, PD: 1.854110048405198E7
Name: Xequxe, Pop. 42626407, Seats: 2, D: 2.449489742783178, PD: 1.7402157786366846E7
Name: Ainge, Pop. 142031505, Seats: 7, D: 7.483314773547883, PD: 1.8979758208495356E7
Name: Ora, Pop. 295808055, Seats: 15, D: 15.491933384829668, PD: 1.9094327844816793E7
Name: Aninques, Pop. 285481793, Seats: 15, D: 15.491933384829668, PD: 1.842777049890722E7
Name: Anorce, Pop. 242895529, Seats: 13, D: 13.490737563232042, PD: 1.8004614489128668E7
Name: Usmage, Pop. 404860433, Seats: 21, D: 21.494185260204677, PD: 1.88358120160794E7
Name: Sozais, Pop. 265035482, Seats: 14, D: 14.491376746189438, PD: 1.8289185813190047E7
Name: Isatees, Pop. 26540880, Seats: 1, D: 1.4142135623730951, PD: 1.8767236226658415E7
Name: Geuszave, Pop. 261473388, Seats: 14, D: 14.491376746189438, PD: 1.8043377974336043E7
Name: Ceceer, Pop. 217236312, Seats: 11, D: 11.489125293076057, PD: 1.8907993990710318E7
Name: Soleti, Pop. 276155502, Seats: 14, D: 14.491376746189438, PD: 1.905654009530986E7
Name: Xeerbema, Pop. 435944876, Seats: 23, D: 23.49468024894146, PD: 1.855504613729064E7
Name: Dibire, Pop. 161110510, Seats: 8, D: 8.48528137423857, PD: 1.898705569023718E7
Name: Atzati, Pop. 277321460, Seats: 14, D: 14.491376746189438, PD: 1.9136998841253832E7
Name: Zabeveve, Pop. 181069631, Seats: 9, D: 9.486832980505138, PD: 1.9086414968207728E7
Name: Vexe, Pop. 285075124, Seats: 15, D: 15.491933384829668, PD: 1.840152012783357E7
Name: Amaen, Pop. 289888223, Seats: 15, D: 15.491933384829668, PD: 1.8712204332344364E7
Name: Dizaen, Pop. 334987129, Seats: 17, D: 17.4928556845359, PD: 1.9149939554817032E7
Name: Maabice, Pop. 103818372, Seats: 5, D: 5.477225575051661, PD: 1.8954554742620908E7
Name: Biaatan, Pop. 233991142, Seats: 12, D: 12.489995996796797, PD: 1.8734284787601992E7
Name: Relaor, Pop. 300709438, Seats: 16, D: 16.492422502470642, PD: 1.8233187874913603E7
Name: Riaen, Pop. 26946429, Seats: 1, D: 1.4142135623730951, PD: 1.9054002674661838E7
Name: Onxebi, Pop. 258578326, Seats: 13, D: 13.490737563232042, PD: 1.9167100745087147E7
Name: Maerus, Pop. 386379473, Seats: 20, D: 20.493901531919196, PD: 1.885338779432579E7
Name: Anates, Pop. 231459878, Seats: 12, D: 12.489995996796797, PD: 1.853162147204535E7
Name: Arbeer, Pop. 253435819, Seats: 13, D: 13.490737563232042, PD: 1.8785912765119653E7
Name: Xeenla, Pop. 45140926, Seats: 2, D: 2.449489742783178, PD: 1.8428705869455747E7
Name: Inlein, Pop. 365592649, Seats: 19, D: 19.493588689617926, PD: 1.8754507177773308E7
Name: Xeeda, Pop. 26854848, Seats: 1, D: 1.4142135623730951, PD: 1.8989245128533993E7
Name: Eddiered, Pop. 248753825, Seats: 13, D: 13.490737563232042, PD: 1.8438860279808514E7
Name: Isbeat, Pop. 270624988, Seats: 14, D: 14.491376746189438, PD: 1.867489837162379E7
Name: Orator, Pop. 320719514, Seats: 17, D: 17.4928556845359, PD: 1.8334314292864352E7
Name: Inonri, Pop. 346214469, Seats: 18, D: 18.49324200890693, PD: 1.872113439240411E7
Name: Bezara, Pop. 327452210, Seats: 17, D: 17.4928556845359, PD: 1.8719196905595895E7
Name: Xeorbe, Pop. 438361441, Seats: 23, D: 23.49468024894146, PD: 1.8657901974203292E7
Name: Esbeti, Pop. 234107694, Seats: 12, D: 12.489995996796797, PD: 1.8743616415893137E7
Name: Tivean, Pop. 293344577, Seats: 15, D: 15.491933384829668, PD: 1.8935311023687653E7
Name: Anaan, Pop. 347456416, Seats: 18, D: 18.49324200890693, PD: 1.8788291194840472E7
Name: Bibema, Pop. 385731012, Seats: 20, D: 20.493901531919196, PD: 1.8821746137465578E7
Name: Tiri, Pop. 234353338, Seats: 12, D: 12.489995996796797, PD: 1.8763283675999787E7
Name: Lariza, Pop. 324034229, Seats: 17, D: 17.4928556845359, PD: 1.8523803937081236E7
Name: Atvebe, Pop. 26281183, Seats: 1, D: 1.4142135623730951, PD: 1.858360271690461E7
Name: Aterditi, Pop. 291949826, Seats: 15, D: 15.491933384829668, PD: 1.884528023376922E7
Name: Tegequ, Pop. 215658878, Seats: 11, D: 11.489125293076057, PD: 1.8770695984137908E7
Name: Begeandies, Pop. 436079491, Seats: 23, D: 23.49468024894146, PD: 1.8560775732185047E7
Name: Maator, Pop. 256936165, Seats: 13, D: 13.490737563232042, PD: 1.9045375673177395E7
Name: Ater, Pop. 26727063, Seats: 1, D: 1.4142135623730951, PD: 1.889888748850007E7
